Age,Gender,Ethnicity,Marital Status,Household Size,Spouse,Parent,Friends,Religion,Full Time Employment,Part Time Employment,Retired,Income,US Born,Duration of Residency,Familiarity with America,Language,Satisfaction
23,Female,Chinese,Single,3,0,Living with parents,0,Buddhist,0,0,0,"$0 - $9,999",No,11,Low,English,Pretty much
25,Male,Asian Indian,Single,1,0,0,0,Hindu,Employed full time,0,0,"$50,000 - $59,999",No,2,Very high,English,Very much
22,Female,Vietnamese,Single,4,0,0,Living with friends/roommates,Protestant,Employed full time,0,0,"$40,000 - $49,999",No,13,High,English,Very much
44,Female,Vietnamese,Married,4,0,0,0,Buddhist,Employed full time,0,0,"$20,000 - $29,999",No,13,High,Viet,Not at all
44,Female,Filipino,Other,4,Living with spouse,Living with parents,0,Catholic,Employed full time,0,0,"$30,000 - $39,999",No,12,High,English,Very much
32,Male,Filipino,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",Yes,32,Very high,English,Very much
46,Male,Vietnamese,Married,4,Living with spouse,0,0,Buddhist,0,0,0,"$20,000 - $29,999",No,21,High,Viet,Pretty much
27,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$50,000 - $59,999",Yes,27,Very high,English,Very much
36,Male,Chinese,Married,4,Living with spouse,0,0,Catholic,Employed full time,0,0,"$0 - $9,999",No,15,High,English,Very much
49,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$40,000 - $49,999",No,4,High,Chinese Traditional,Very much
69,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,Retired,"$50,000 - $59,999",No,30,High,Chinese Simplified,Pretty much
55,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$30,000 - $39,999",No,30,High,Chinese Traditional,Pretty much
67,Female,Chinese,Married,6,0,0,0,None,0,0,Retired,"$0 - $9,999",No,3,Low,Chinese Simplified,Pretty much
45,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,19,High,Chinese Simplified,Pretty much
78,Male,Chinese,Single,1,0,0,0,Catholic,0,0,Retired,"$60,000 - $69,999",Yes,78,Very high,English,Very much
40,Female,Chinese,Married,5,Living with spouse,Living with parents,0,Protestant,Employed full time,0,0,"$70,000 and over",No,13,High,Chinese Simplified,Very much
57,Male,Chinese,Married,4,Living with spouse,0,0,Catholic,Employed full time,0,0,"$70,000 and over",No,29,Very high,English,Very much
19,Female,Chinese,Single,5,0,Living with parents,0,Buddhist,0,0,0,"$20,000 - $29,999",No,7,High,English,Very much
68,Male,Chinese,Married,2,Living with spouse,0,0,Buddhist,0,0,Retired,"$50,000 - $59,999",No,39,High,Eng_Chinese only,Very much
51,Female,Chinese,Married,4,Living with spouse,0,0,Buddhist,Employed full time,0,0,"$30,000 - $39,999",No,22,Low,Viet,Pretty much
41,Male,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,17,High,Chinese Simplified,Very much
49,Male,Chinese,Married,4,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,16,Low,English,Very much
19,Female,Chinese,Single,2,0,Living with parents,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,0.5,High,Chinese Simplified,Pretty much
32,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,22,Very high,Eng_Chinese only,Not very much
23,Female,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,2,High,Chinese Simplified,Pretty much
20,Male,Chinese,Single,2,0,0,0,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,Chinese Simplified,Very much
18,Male,Chinese,Single,2,0,Living with parents,0,None,0,0,0,"$70,000 and over",Yes,18,Very high,Eng_Chinese only,Very much
18,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",Yes,18,Very high,Eng_Chinese only,Pretty much
18,Female,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$70,000 and over",No,17,Very high,English,Pretty much
36,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$70,000 and over",Yes,33,High,Eng_Chinese only,Pretty much
21,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,English,Not very much
31,Female,Chinese,Married,5,Living with spouse,Living with parents,0,None,0,0,0,"$70,000 and over",No,3,Low,Chinese Simplified,Pretty much
22,Male,Chinese,Single,3,0,0,0,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,Chinese Simplified,Pretty much
18,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$50,000 - $59,999",No,2,High,Chinese Simplified,Very much
26,Male,Chinese,Single,4,0,0,0,None,0,0,0,"$10,000 - $19,999",No,0.5,High,Chinese Simplified,Very much
24,Male,Chinese,Married,4,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,0.5,Low,Chinese Simplified,Very much
28,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$40,000 - $49,999",No,1,Low,Chinese Simplified,Pretty much
27,Female,Asian Indian,Married,2,Living with spouse,0,0,Hindu,Employed full time,0,0,"$70,000 and over",No,5,Low,English,Pretty much
20,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$0 - $9,999",No,0.5,High,Chinese Simplified,Pretty much
22,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,5,High,Eng_Chinese only,Pretty much
55,Male,Chinese,Single,3,0,0,0,Buddhist,Employed full time,0,0,"$10,000 - $19,999",No,38,Low,Chinese Traditional,Pretty much
29,Male,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$40,000 - $49,999",No,0.5,High,Chinese Traditional,Pretty much
24,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,3,Low,Chinese Simplified,Pretty much
68,Female,Chinese,Married,2,Living with spouse,0,0,Catholic,0,0,Retired,"$40,000 - $49,999",No,45,High,Eng_Chinese only,Very much
56,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$20,000 - $29,999",No,27,Low,Chinese Simplified,Not very much
22,Female,Chinese,Other,3,0,0,Living with friends/roommates,Buddhist,0,0,0,"$40,000 - $49,999",No,0.5,High,Chinese Traditional,Very much
18,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,Pretty much
23,Female,Chinese,Single,5,0,Living with parents,0,None,Employed full time,0,0,"$50,000 - $59,999",Yes,23,Very high,Eng_Chinese only,Pretty much
23,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,Chinese Simplified,Pretty much
44,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,16,High,Chinese Simplified,Very much
19,Male,Chinese,Living with a partner,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,1,High,Chinese Traditional,Pretty much
47,Male,Chinese,Married,4,0,0,0,None,0,0,0,"$70,000 and over",No,2,Low,Chinese Simplified,Pretty much
69,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$70,000 and over",No,33,High,Chinese Traditional,Pretty much
18,Female,Chinese,Single,4,0,Living with parents,0,Protestant,0,0,0,"$70,000 and over",No,16,Very high,English,Pretty much
22,Female,Chinese,Single,4,0,0,Living with friends/roommates,Protestant,0,0,0,"$20,000 - $29,999",No,0.5,High,Eng_Chinese only,Pretty much
22,Female,Chinese,Single,5,0,Living with parents,0,None,0,0,0,"$10,000 - $19,999",No,1,High,Chinese Traditional,Pretty much
29,Male,Chinese,Single,2,0,0,0,Buddhist,Employed full time,0,0,"$30,000 - $39,999",Yes,29,High,English,Pretty much
27,Male,Chinese,Single,4,0,0,0,None,Employed full time,0,0,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,Pretty much
22,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,Employed part time,0,"$50,000 - $59,999",No,0.9,High,English,Not very much
24,Female,Chinese,Married,3,Living with spouse,0,Living with friends/roommates,None,0,Employed part time,0,"$70,000 and over",No,1,High,Eng_Chinese only,Very much
19,Male,Chinese,Single,5,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",Yes,19,Very high,Eng_Chinese only,Very much
28,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$60,000 - $69,999",No,1,Low,Chinese Traditional,Very much
19,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$60,000 - $69,999",No,16,Very high,Eng_Chinese only,Very much
24,Female,Chinese,Living with a partner,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$0 - $9,999",No,1,High,English,Pretty much
30,Female,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,8,High,Chinese Simplified,Pretty much
19,Female,Chinese,Single,2,0,Living with parents,0,None,Employed full time,0,0,"$20,000 - $29,999",Yes,20,High,English,Pretty much
28,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$70,000 and over",Yes,24,Very high,Eng_Chinese only,Very much
29,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,1,Low,Chinese Traditional,Pretty much
33,Male,Chinese,Married,5,Living with spouse,Living with parents,0,None,0,0,0,"$70,000 and over",No,9,High,Chinese Simplified,Pretty much
32,Male,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,1,Low,Chinese Simplified,Very much
20,Male,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$70,000 and over",Yes,16,Very high,English,Very much
22,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$70,000 and over",Yes,22,Very high,English,Very much
21,Female,Chinese,Single,4,0,Living with parents,0,None,0,Employed part time,0,"$70,000 and over",Yes,17,Very high,English,Very much
32,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$60,000 - $69,999",No,1,Low,Chinese Traditional,Pretty much
32,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,1,Low,Chinese Simplified,Very much
22,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,Pretty much
18,Male,Chinese,Living with a partner,4,0,Living with parents,0,None,0,Employed part time,0,"$70,000 and over",Yes,18,Very high,Chinese Simplified,Not at all
31,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$60,000 - $69,999",No,1,Low,Chinese Simplified,Pretty much
22,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$0 - $9,999",No,4,Low,Chinese Simplified,Pretty much
