Age,Gender,Ethnicity,Marital Status,Household Size,Spouse,Parent,Friends,Religion,Full Time Employment,Part Time Employment,Retired,Income,US Born,Duration of Residency,Familiarity with America,Language,Satisfaction
,,Vietnamese,,,,,,,,,,,,,,Viet,
60,Male,Chinese,Married,6,0,0,0,Buddhist,0,0,Retired,"$30,000 - $39,999",No,0.5,High,Chinese Simplified,
23,Female,Chinese,Single,3,0,Living with parents,0,Buddhist,0,0,0,"$0 - $9,999",No,11,Low,English,Pretty much
73,Female,Chinese,Other,1,0,0,0,Protestant,0,0,Retired,,No,50,High,Chinese Traditional,Pretty much
29,Male,Asian Indian,Single,1,0,0,0,Hindu,Employed full time,0,0,,No,7,High,English,
34,Female,Asian Indian,Married,3,Living with spouse,0,0,Hindu,Employed full time,0,0,,No,,Very high,English,Very much
28,Male,Asian Indian,Married,2,Living with spouse,0,0,Hindu,Employed full time,0,0,"$70,000 and over",No,7,High,English,
47,Male,Asian Indian,Married,5,Living with spouse,0,0,Muslim,Employed full time,0,0,"$70,000 and over",No,20,High,English,
25,Male,Asian Indian,Single,1,0,0,0,Hindu,Employed full time,0,0,"$50,000 - $59,999",No,2,Very high,English,Very much
60,Female,Asian Indian,Single,3,0,Living with parents,0,Hindu,0,0,Retired,"$70,000 and over",No,47,Low,English,
22,Female,Vietnamese,Single,4,0,0,Living with friends/roommates,Protestant,Employed full time,0,0,"$40,000 - $49,999",No,13,High,English,Very much
43,Male,Vietnamese,Married,3,0,0,0,Catholic,Employed full time,0,0,"$70,000 and over",No,30,High,Viet,
44,Female,Vietnamese,Married,4,0,0,0,Buddhist,Employed full time,0,0,"$20,000 - $29,999",No,13,High,Viet,Not at all
44,Female,Filipino,Other,4,Living with spouse,Living with parents,0,Catholic,Employed full time,0,0,"$30,000 - $39,999",No,12,High,English,Very much
32,Male,Filipino,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",Yes,32,Very high,English,Very much
40,Female,Filipino,Single,4,0,0,0,Protestant,0,0,0,"$40,000 - $49,999",No,9,High,English,
70,Female,Filipino,Married,4,0,0,0,Protestant,0,0,0,,No,7,High,Tagalog,Pretty much
68,Female,Filipino,Married,3,Living with spouse,0,0,Catholic,0,0,Retired,"$40,000 - $49,999",No,50,High,English,
46,Male,Vietnamese,Married,4,Living with spouse,0,0,Buddhist,0,0,0,"$20,000 - $29,999",No,21,High,Viet,Pretty much
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
27,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$50,000 - $59,999",Yes,27,Very high,English,Very much
72,Female,Chinese,Married,5,0,0,0,None,0,0,Retired,,No,0.5,Very low,Chinese Simplified,
23,Male,Chinese,Living with a partner,1,0,0,0,Other,Employed full time,0,0,"$60,000 - $69,999",Yes,23,High,English,
36,Male,Chinese,Married,4,Living with spouse,0,0,Catholic,Employed full time,0,0,"$0 - $9,999",No,15,High,English,Very much
68,Female,Chinese,Married,6,0,0,0,None,0,0,Retired,,No,,Low,Chinese Traditional,Pretty much
49,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$40,000 - $49,999",No,4,High,Chinese Traditional,Very much
75,,Chinese,Married,2,Living with spouse,0,0,None,0,0,Retired,"$0 - $9,999",No,20,Very low,Chinese Simplified,Pretty much
76,Male,Chinese,Married,6,0,0,0,None,0,0,Retired,"$10,000 - $19,999",No,,Low,Chinese Traditional,
69,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,Retired,"$50,000 - $59,999",No,30,High,Chinese Simplified,Pretty much
74,Male,Chinese,Married,5,0,0,0,,0,0,Retired,"$70,000 and over",No,0.5,Low,Chinese Simplified,
19,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,8,High,English,
65,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$70,000 and over",No,35,High,Chinese Traditional,
55,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$30,000 - $39,999",No,30,High,Chinese Traditional,Pretty much
69,Female,Chinese,Married,5,0,0,0,None,0,0,Retired,,No,0.5,,Chinese Simplified,
67,Female,Chinese,Married,6,0,0,0,None,0,0,Retired,"$0 - $9,999",No,3,Low,Chinese Simplified,Pretty much
55,Female,Chinese,Married,4,Living with spouse,Living with parents,0,Protestant,Employed full time,0,0,"$40,000 - $49,999",No,25,High,Chinese Traditional,
81,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,Retired,,No,12,Low,Chinese Simplified,Pretty much
45,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,19,High,Chinese Simplified,Pretty much
24,Female,Chinese,Single,3,0,Living with parents,0,None,0,0,0,"$30,000 - $39,999",No,,High,Chinese Simplified,Pretty much
75,Female,Chinese,Married,6,0,0,0,None,0,0,Retired,,No,,Low,Chinese Traditional,
69,Female,Chinese,Married,6,Living with spouse,0,0,None,0,0,Retired,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,
61,,Chinese,Married,5,0,0,0,Other,0,0,Retired,,No,1,Very low,Chinese Simplified,
74,Female,Chinese,Married,2,0,0,0,None,0,0,0,"$0 - $9,999",No,2,High,Chinese Traditional,
52,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,,No,15,High,Chinese Simplified,
78,Male,Chinese,Single,1,0,0,0,Catholic,0,0,Retired,"$60,000 - $69,999",Yes,78,Very high,English,Very much
76,Female,Chinese,Married,8,0,0,0,None,0,0,Retired,,No,4,Very high,Chinese Simplified,Pretty much
45,Female,Chinese,Single,2,0,0,0,Protestant,Employed full time,0,0,"$0 - $9,999",No,0.5,Very high,Chinese Traditional,
66,Male,Chinese,Married,3,Living with spouse,Living with parents,0,Protestant,0,0,Retired,,No,42,Very high,Chinese Traditional,Very much
