,director_name,num_critic_for_reviews,duration,director_facebook_likes,movie_title,imdb_score
0,James Cameron,723.0,178.0,0.0,Avatar ,7.9
1,Gore Verbinski,302.0,169.0,563.0,Pirates of the Caribbean: At World's End ,7.1
2,Sam Mendes,602.0,148.0,0.0,Spectre ,6.8
3,Christopher Nolan,813.0,164.0,22000.0,The Dark Knight Rises ,8.5
4,Doug Walker,,,131.0,Star Wars: Episode VII - The Force Awakens             ,7.1
5,Andrew Stanton,462.0,132.0,475.0,John Carter ,6.6
6,Sam Raimi,392.0,156.0,0.0,Spider-Man 3 ,6.2
7,Nathan Greno,324.0,100.0,15.0,Tangled ,7.8
8,Joss Whedon,635.0,141.0,0.0,Avengers: Age of Ultron ,7.5
9,David Yates,375.0,153.0,282.0,Harry Potter and the Half-Blood Prince ,7.5
10,Zack Snyder,673.0,183.0,0.0,Batman v Superman: Dawn of Justice ,6.9
11,Bryan Singer,434.0,169.0,0.0,Superman Returns ,6.1
12,Marc Forster,403.0,106.0,395.0,Quantum of Solace ,6.7
13,Gore Verbinski,313.0,151.0,563.0,Pirates of the Caribbean: Dead Man's Chest ,7.3
14,Gore Verbinski,450.0,150.0,563.0,The Lone Ranger ,6.5
15,Zack Snyder,733.0,143.0,0.0,Man of Steel ,7.2
16,Andrew Adamson,258.0,150.0,80.0,The Chronicles of Narnia: Prince Caspian ,6.6
17,Joss Whedon,703.0,173.0,0.0,The Avengers ,8.1
18,Rob Marshall,448.0,136.0,252.0,Pirates of the Caribbean: On Stranger Tides ,6.7
19,Barry Sonnenfeld,451.0,106.0,188.0,Men in Black 3 ,6.8
20,Peter Jackson,422.0,164.0,0.0,The Hobbit: The Battle of the Five Armies ,7.5
21,Marc Webb,599.0,153.0,464.0,The Amazing Spider-Man ,7.0
22,Ridley Scott,343.0,156.0,0.0,Robin Hood ,6.7
23,Peter Jackson,509.0,186.0,0.0,The Hobbit: The Desolation of Smaug ,7.9
24,Chris Weitz,251.0,113.0,129.0,The Golden Compass ,6.1
25,Peter Jackson,446.0,201.0,0.0,King Kong ,7.2
26,James Cameron,315.0,194.0,0.0,Titanic ,7.7
27,Anthony Russo,516.0,147.0,94.0,Captain America: Civil War ,8.2
28,Peter Berg,377.0,131.0,532.0,Battleship ,5.9
29,Colin Trevorrow,644.0,124.0,365.0,Jurassic World ,7.0
30,Sam Mendes,750.0,143.0,0.0,Skyfall ,7.8
31,Sam Raimi,300.0,135.0,0.0,Spider-Man 2 ,7.3
32,Shane Black,608.0,195.0,1000.0,Iron Man 3 ,7.2
33,Tim Burton,451.0,108.0,13000.0,Alice in Wonderland ,6.5
34,Brett Ratner,334.0,104.0,420.0,X-Men: The Last Stand ,6.8
35,Dan Scanlon,376.0,104.0,37.0,Monsters University ,7.3
36,Michael Bay,366.0,150.0,0.0,Transformers: Revenge of the Fallen ,6.0
37,Michael Bay,378.0,165.0,0.0,Transformers: Age of Extinction ,5.7
38,Sam Raimi,525.0,130.0,0.0,Oz the Great and Powerful ,6.4
39,Marc Webb,495.0,142.0,464.0,The Amazing Spider-Man 2 ,6.7
40,Joseph Kosinski,469.0,125.0,364.0,TRON: Legacy ,6.8
41,John Lasseter,304.0,106.0,487.0,Cars 2 ,6.3
42,Martin Campbell,436.0,123.0,258.0,Green Lantern ,5.6
43,Lee Unkrich,453.0,103.0,125.0,Toy Story 3 ,8.3
44,McG,422.0,118.0,368.0,Terminator Salvation ,6.6
45,James Wan,424.0,140.0,0.0,Furious 7 ,7.2
46,Marc Forster,654.0,123.0,395.0,World War Z ,7.0
47,Bryan Singer,539.0,149.0,0.0,X-Men: Days of Future Past ,8.0
48,J.J. Abrams,590.0,132.0,14000.0,Star Trek Into Darkness ,7.8
49,Bryan Singer,338.0,114.0,0.0,Jack the Giant Slayer ,6.3
50,Baz Luhrmann,490.0,143.0,1000.0,The Great Gatsby ,7.3
51,Mike Newell,306.0,116.0,179.0,Prince of Persia: The Sands of Time ,6.6
52,Guillermo del Toro,575.0,131.0,0.0,Pacific Rim ,7.0
53,Michael Bay,428.0,154.0,0.0,Transformers: Dark of the Moon ,6.3
54,Steven Spielberg,470.0,122.0,14000.0,Indiana Jones and the Kingdom of the Crystal Skull ,6.2
55,Peter Sohn,298.0,93.0,113.0,The Good Dinosaur ,6.8
56,Mark Andrews,488.0,93.0,56.0,Brave ,7.2
57,Justin Lin,322.0,122.0,681.0,Star Trek Beyond ,7.5
58,Andrew Stanton,421.0,98.0,475.0,WALL·E ,8.4
59,Brett Ratner,162.0,91.0,420.0,Rush Hour 3 ,6.2
60,Roland Emmerich,367.0,158.0,776.0,2012 ,5.8
61,Robert Zemeckis,240.0,96.0,0.0,A Christmas Carol ,6.8
62,Lana Wachowski,384.0,127.0,0.0,Jupiter Ascending ,5.4
63,David Yates,248.0,110.0,282.0,The Legend of Tarzan ,6.6
64,Andrew Adamson,284.0,150.0,80.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9
65,Bryan Singer,396.0,144.0,0.0,X-Men: Apocalypse ,7.3
66,Christopher Nolan,645.0,152.0,22000.0,The Dark Knight ,9.0
67,Pete Docter,408.0,96.0,0.0,Up ,8.3
68,Rob Letterman,219.0,94.0,11.0,Monsters vs. Aliens ,6.5
69,Jon Favreau,486.0,126.0,4000.0,Iron Man ,7.9
70,Martin Scorsese,682.0,126.0,17000.0,Hugo ,7.5
71,Barry Sonnenfeld,85.0,106.0,188.0,Wild Wild West ,4.8
72,Rob Cohen,264.0,112.0,357.0,The Mummy: Tomb of the Dragon Emperor ,5.2
73,David Ayer,418.0,123.0,452.0,Suicide Squad ,6.9
74,Tom Shadyac,186.0,96.0,293.0,Evan Almighty ,5.4
75,Doug Liman,585.0,113.0,218.0,Edge of Tomorrow ,7.9
76,Kevin Reynolds,91.0,176.0,58.0,Waterworld ,6.1
77,Stephen Sommers,250.0,118.0,208.0,G.I. Joe: The Rise of Cobra ,5.8
78,Pete Docter,536.0,95.0,0.0,Inside Out ,8.3
79,Jon Favreau,370.0,106.0,4000.0,The Jungle Book ,7.8
80,Jon Favreau,453.0,124.0,4000.0,Iron Man 2 ,7.0
81,Rupert Sanders,416.0,132.0,274.0,Snow White and the Huntsman ,6.1
82,Robert Stromberg,401.0,97.0,171.0,Maleficent ,7.0
83,Matt Reeves,521.0,130.0,198.0,Dawn of the Planet of the Apes ,7.6
84,Roland Joffé,10.0,109.0,596.0,The Lovers ,4.5
85,Carl Rinsch,218.0,128.0,47.0,47 Ronin ,6.3
86,Anthony Russo,576.0,136.0,94.0,Captain America: The Winter Soldier ,7.8
87,Mike Mitchell,226.0,93.0,31.0,Shrek Forever After ,6.4
88,Brad Bird,443.0,130.0,663.0,Tomorrowland ,6.5
89,Don Hall,384.0,102.0,38.0,Big Hero 6 ,7.9
90,Rich Moore,377.0,101.0,66.0,Wreck-It Ralph ,7.8
91,Robert Zemeckis,188.0,100.0,0.0,The Polar Express ,6.6
92,Roland Emmerich,286.0,120.0,776.0,Independence Day: Resurgence ,5.5
93,Dean DeBlois,288.0,98.0,255.0,How to Train Your Dragon ,8.2
94,Jonathan Mostow,280.0,109.0,84.0,Terminator 3: Rise of the Machines ,6.4
95,James Gunn,653.0,121.0,571.0,Guardians of the Galaxy ,8.1
96,Christopher Nolan,712.0,169.0,22000.0,Interstellar ,8.6
97,Christopher Nolan,642.0,148.0,22000.0,Inception ,8.8
98,Hideaki Anno,1.0,120.0,28.0,Godzilla Resurgence ,8.2
99,Peter Jackson,645.0,182.0,0.0,The Hobbit: An Unexpected Journey ,7.9
100,Rob Cohen,187.0,106.0,357.0,The Fast and the Furious ,6.7
101,David Fincher,362.0,166.0,21000.0,The Curious Case of Benjamin Button ,7.8
102,Matthew Vaughn,500.0,132.0,905.0,X-Men: First Class ,7.8
103,Francis Lawrence,389.0,137.0,508.0,The Hunger Games: Mockingjay - Part 2 ,6.6
104,Jon Turteltaub,235.0,109.0,226.0,The Sorcerer's Apprentice ,6.1
105,Wolfgang Petersen,231.0,98.0,249.0,Poseidon ,5.6
106,James Bobin,218.0,113.0,33.0,Alice Through the Looking Glass ,6.4
107,Chris Miller,227.0,93.0,50.0,Shrek the Third ,6.1
108,Duncan Jones,275.0,123.0,0.0,Warcraft ,7.3
109,Alan Taylor,474.0,126.0,230.0,Terminator Genisys ,6.6
110,Michael Apted,228.0,113.0,150.0,The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3
111,Michael Bay,191.0,184.0,0.0,Pearl Harbor ,6.1
112,Michael Bay,396.0,144.0,0.0,Transformers ,7.1
113,Oliver Stone,248.0,206.0,0.0,Alexander ,5.5
114,David Yates,329.0,138.0,282.0,Harry Potter and the Order of the Phoenix ,7.5
115,Mike Newell,295.0,157.0,179.0,Harry Potter and the Goblet of Fire ,7.6
116,Peter Berg,318.0,102.0,532.0,Hancock ,6.4
117,Francis Lawrence,323.0,104.0,508.0,I Am Legend ,7.2
118,Tim Burton,276.0,115.0,13000.0,Charlie and the Chocolate Factory ,6.7
119,Brad Bird,318.0,111.0,663.0,Ratatouille ,8.0
120,Christopher Nolan,478.0,128.0,22000.0,Batman Begins ,8.3
121,Eric Darnell,167.0,89.0,35.0,Madagascar: Escape 2 Africa ,6.7
